window,classical_l2,classical_turnover,shrink_l2,shrink_turnover,bootstrap_l2,bootstrap_turnover,parametric_l2,parametric_turnover,unified_l2,unified_turnover,1N_l2,1N_turnover
67,0.13735638893463595,0.34844243833577526,0.1340547038206283,0.3351944452015799,0.07329046140531373,0.21967195151214164,0.09037882164424922,0.24181488507234322,0.09730548519305593,0.26311323858150076,0.0,0.0
68,0.1164952406668202,0.32575881672554796,0.11877093483859322,0.3302663208771433,0.07360252556132349,0.21879772847741333,0.07839002809173509,0.23801663978850562,0.08839956748270467,0.26169616421311764,0.0,0.0
69,0.08194002408021316,0.239022402033024,0.08369999056823325,0.24113657439726013,0.048044795426931144,0.15944418199236604,0.050009185395211805,0.16670609848656323,0.05892485952319012,0.18620556169964358,0.0,0.0
70,0.124051207241064,0.2925121890050086,0.12183539915426124,0.28612065518591767,0.06594303104479253,0.17430854959364542,0.08092863349753272,0.21493604146070447,0.08838751634166635,0.22106553570220058,0.0,0.0
71,0.12094777977994012,0.26828734437591795,0.12231967465833093,0.2739703396874522,0.0676729622815819,0.20742836792960048,0.07828392144123726,0.18900112610780959,0.08779932779503642,0.21837380567431888,0.0,0.0
72,0.08364588336441187,0.23586072355104476,0.08525555907941845,0.23654015842922407,0.05031175863297869,0.16287982070602433,0.05576429899991323,0.19187976674732754,0.06175655345414116,0.19422809551675138,0.0,0.0
73,0.13259012394588943,0.2931322780251233,0.13150423146667126,0.29099978416008365,0.06372420889996426,0.18044408686908525,0.07707532795874196,0.19993459658537213,0.08907769444706488,0.22004045802695082,0.0,0.0
74,0.08390065313471642,0.21757528459912573,0.08655903828576934,0.22901931896118985,0.04455447035638158,0.14918505037454588,0.06293651573329803,0.18732692923899597,0.0624595935540962,0.18400094097118042,0.0,0.0
75,0.09823126961738757,0.2586867424290998,0.10131527670042362,0.2697547525495935,0.0552121914051801,0.17302079942085358,0.06717623347581372,0.18885307135944587,0.07336650091784062,0.20950121313779213,0.0,0.0
76,0.1017782668428755,0.2386019215035256,0.10058153255240225,0.2414257007141103,0.04896663741501473,0.1392701810835715,0.0628970021147078,0.16667916828788495,0.06963062451789898,0.17765551389276046,0.0,0.0
77,0.06532722699029499,0.14026973537851,0.06415957749090388,0.13328046184042322,0.035294453367604256,0.10705696064401983,0.04261708696944159,0.11599665884783619,0.04523006595870937,0.11247641679909275,0.0,0.0
78,0.05292522737843091,0.11762241258215245,0.04996681552373235,0.11590673551419269,0.032123025711478966,0.10529957506857711,0.03897597262116699,0.09419296535682016,0.038000681061410496,0.10035555724302128,0.0,0.0
79,0.12730222354826234,0.3425700229680675,0.11894185368994843,0.33460336685787034,0.06644596713762035,0.21449240327617064,0.08475241786002218,0.2520337040195185,0.08819966340451918,0.2664332067069568,0.0,0.0
80,0.035326164530548716,0.08192235414085985,0.03936934235382596,0.08839387943215027,0.03441788501713507,0.10732244821382475,0.030210107411449052,0.10052547312118064,0.0314432068413656,0.0912265870540268,0.0,0.0
81,0.0812401449828271,0.22168459491391018,0.07872788721668154,0.21586679603790423,0.041019418020024775,0.1373543495332846,0.05651136313012397,0.1729594776624567,0.05630575151657598,0.17314194636373492,0.0,0.0
82,0.17047653875537633,0.4439311063285101,0.16238438630013946,0.4262185775870574,0.08685540243628506,0.26520651952435387,0.10837046195835422,0.29757601565336406,0.11703435586972494,0.32582844793655613,0.0,0.0
